City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Condition
0,Asfi,MA,32.2994,-9.2372,54.84,69,98,21.3,light rain
1,Tuktoyaktuk,CA,69.4541,-133.0374,-5.8,77,1,11.5,clear sky
2,Tiksi,RU,71.6872,128.8694,-22.43,87,100,6.04,overcast clouds
3,Hasaki,JP,35.7333,140.8333,46.0,28,20,6.91,few clouds
4,Broken Hill,AU,-31.95,141.4333,91.4,17,0,12.66,clear sky
5,Luderitz,NA,-26.6481,15.1594,69.82,49,11,17.83,few clouds
6,Cherskiy,RU,68.75,161.3,-26.01,85,99,4.65,overcast clouds
7,Albany,US,42.6001,-73.9662,25.0,58,66,1.01,broken clouds
8,Kapaa,US,22.0752,-159.319,73.4,88,90,9.22,overcast clouds
9,Iqaluit,CA,63.7506,-68.5145,12.2,79,75,3.44,light snow
10,Avarua,CK,-21.2078,-159.775,78.8,73,4,6.91,clear sky
11,Ushuaia,AR,-54.8,-68.3,44.6,87,40,12.66,scattered clouds
12,Mataura,NZ,-46.1927,168.8643,57.99,86,97,18.99,overcast clouds
13,Honningsvag,NO,70.9821,25.9704,22.32,93,4,29.33,clear sky
14,Hami,CN,42.8,93.45,18.66,77,29,8.08,scattered clouds
15,Qaanaaq,GL,77.484,-69.3632,-2.52,75,0,5.46,clear sky
16,Ihtiman,BG,42.4333,23.8167,37.99,98,99,1.03,overcast clouds
17,Tasiilaq,GL,65.6145,-37.6368,21.2,45,75,4.61,broken clouds
18,Atuona,PF,-9.8,-139.0333,78.22,77,13,17.54,few clouds
19,Bredasdorp,ZA,-34.5322,20.0403,64.4,72,91,3.44,overcast clouds
20,Guerrero Negro,MX,27.9769,-114.0611,56.01,82,0,1.72,clear sky
21,Bantou,CN,26.2151,117.4893,52.74,38,100,3.76,overcast clouds
22,Nanortalik,GL,60.1432,-45.2371,31.82,91,100,6.17,overcast clouds
23,Talnakh,RU,69.4865,88.3972,-22.47,74,0,3.24,clear sky
24,New Norfolk,AU,-42.7826,147.0587,75.0,41,73,1.99,broken clouds
25,Klaksvik,FO,62.2266,-6.589,28.4,93,75,9.22,light snow
26,Shimoda,JP,34.6667,138.95,46.4,36,20,4.61,few clouds
27,Khatanga,RU,71.9667,102.5,-31.0,84,23,7.49,few clouds
28,Naze,JP,28.3667,129.4833,57.2,67,75,10.36,light rain
29,Lasa,IT,46.6166,10.7002,21.0,73,0,6.91,clear sky
30,Saldanha,ZA,-33.0117,17.9442,64.4,72,17,9.22,few clouds
31,Jacareacanga,BR,-6.2222,-57.7528,71.58,95,53,1.34,broken clouds
32,Weligama,LK,5.9667,80.4167,85.19,61,100,2.15,light rain
33,Busselton,AU,-33.65,115.3333,75.0,59,93,8.99,overcast clouds
34,Grand Gaube,MU,-20.0064,57.6608,84.0,75,1,10.0,clear sky
35,Rikitea,PF,-23.1203,-134.9692,78.75,76,99,15.23,overcast clouds
36,Saint George,US,37.1041,-113.5841,39.2,45,1,8.05,clear sky
37,Kasane,BW,-17.8167,25.15,69.8,100,40,3.44,scattered clouds
38,Butaritari,KI,3.0707,172.7902,81.46,81,96,18.54,light rain
39,Ayagoz,KZ,47.9714,80.4392,8.08,85,98,4.79,overcast clouds
40,Vila,PT,42.0304,-8.1588,46.0,61,0,14.97,clear sky
41,Sarai,RU,53.7458,41.0213,24.57,98,100,6.46,snow
42,Lebu,CL,-37.6167,-73.65,53.94,91,11,7.29,few clouds
43,Bambanglipuro,ID,-7.95,110.2833,81.63,80,100,10.69,moderate rain
44,Punta Arenas,CL,-53.15,-70.9167,42.8,87,75,4.61,light rain
45,Sabang,ID,5.8933,95.3214,81.86,79,71,20.76,broken clouds
46,Hastings,GB,50.8552,0.5729,30.0,87,0,7.43,clear sky
47,Nome,US,64.5011,-165.4064,-7.6,71,1,8.23,clear sky
48,Kodiak,US,57.79,-152.4072,39.2,93,90,18.41,light rain
49,Vega De Alatorre,MX,20.0333,-96.6333,67.93,81,72,14.29,broken clouds
50,Svetlogorsk,BY,52.6333,29.7333,18.1,97,77,5.97,broken clouds
51,Vaini,TO,-21.2,-175.2,82.4,83,75,5.75,broken clouds
52,Wajima,JP,37.4,136.9,30.2,86,90,8.05,snow
53,Teguldet,RU,57.3064,88.1667,3.09,93,100,5.84,light snow
54,Boda,CF,4.3189,17.4695,71.29,30,45,1.32,scattered clouds
55,Katsuura,JP,35.1333,140.3,46.0,36,20,4.61,few clouds
56,Cape Town,ZA,-33.9258,18.4232,70.0,68,20,20.71,few clouds
57,Atar,MR,20.5169,-13.0499,55.09,53,3,14.09,clear sky
58,Nandu,CN,22.8525,110.8233,48.83,44,100,5.28,overcast clouds
59,Puerto Ayora,EC,-0.7393,-90.3518,73.99,93,24,4.0,few clouds
60,Torbay,CA,47.6666,-52.7314,30.99,93,75,3.38,broken clouds
61,Sakaiminato,JP,35.55,133.2333,33.8,86,90,14.97,light snow
62,Adrar,MR,20.5022,-10.0711,55.99,47,24,18.79,few clouds
63,Dikson,RU,73.5069,80.5464,-1.97,93,100,20.31,light snow
64,Sitka,US,57.0531,-135.33,44.6,57,90,21.85,moderate rain
